Modality,StudyDescription,BodyPartExamined,SeriesDescription,series_count
CT,CT Abdomen With Contrast,,Patient Protocol,1472
CT,Thorax^SingleThoraxAbdo (Adult),CHEST,Topogram  1.0  T20s,1470
CT,CT Thorax abdomen and pelvis,,Patient Protocol,1470
CT,CT Thorax and abdomen,,Recon 3: HELICAL 5MM,1469
CT,Head^Sinuses (Adult),HEAD,Sinus  3.0  coronal,1469
CT,CT Chest High Resolution,HRCT,Lung 1.0,1467
CT,CT Colonoscopy virtual,,Smart Prep Series,1466
CT,Head^HEAD_SPI (Adult),HEAD,Head  1.0  J30s  3,1466
CT,CT Colonoscopy virtual,,PNEUMOCOLON supine,1463
CT,Thorax^THORAX_ABDO_PEL (Adult),CHEST,Topogram  0.6  T20f,1461
CT,CT Chest/Abdo With Contrast,CHEST,Thorax  1.5  I31f  3,1461
CT,CT Head,,"Bone, iDose (3)",1460
CT,CT Abdomen/Pelvis With Contrast,,KEY_IMAGES,1459
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST,Thorax  1.0  I31f  3,1459
CT,CT Angiogram Pulmonary,,1.25mm Stnd,1455
CT,CT Colonoscopy virtual,ABDOMEN,2.0   Sharp  Scano,1454
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST_ABDO,1.0 Lung Volume Arterial  /Phase CE,1454
CT,CT Thorax and abdomen,,HELICAL 1.25MM,1452
CT,CT Neck With Contrast,NECK,Neck  1.0  B20f,1449
CT,CT urinary tract with contrast,ABDOMEN,2.0   Sharp,1449
CT,CT Angiogram Pulmonary,,CTPA SS30,1449
CT,Thorax^CTPA (Adult),CHEST,Lungs 1.0,1448
CT,CT Head,,2.0   Sharp  Scano,1447
CT,CT KUB (Urinary tract),,Dose Report,1444
CT,ABDOMEN/PELVIS,ABDOMEN_PELVIS,5 NON CONTRA,1443
CT,CT Angiogram pulmonary,CTPA,Body 2.0,1443
CT,CT Head,,0.625mm head,1442
CT,CT Chest/Abdo With Contrast,,Chest/Abdo,1442
CT,CT Thorax & abdo & pelvis with contrast,,//Sharp/2.0//,1436
CT,CT Multi Area,CHEST,"Lung, iDose",1435
CT,Abdomen^KUB (Adult),ABDOMEN,Abdomen  1.0,1434
CT,Thorax^TAPRoutineBGH (Adult),CHEST,Thorax  2.0  B40f,1433
CT,Abdomen^AbdomenContrast (Adult),,Patient Protocol,1430
CT,Abdomen^AbdoPelvisPVphaseBT (Adult),CHEST,PV Lung  1.0,1428
CT,CT Abdomen/Pelvis With Contrast,ABDO_PELVIS,1.0 Body PORTAL VEN CE Std. Volume,1424
CT,CT Chest/Abdo/Pelvis/ With Contrast,,CAP,1423
CT,PET LC,,WB Standard,1423
CT,CT Thorax abdomen pelvis with contrast,,1.0 Body 60s/Delay Std. Volume CE Vol,1421
CT,CT Thorax with contrast,,Patient Protocol,1420
CT,CT Abdomen and pelvis with contrast,ABDOMEN,1.0 Body Venous/Phase Std. Volume CE,1420
CT,PET OTH,,WB Standard,1420
CT,CT Abdomen and Pelvis,,,1419
CT,CT Stone Search KUB,,Scout,1419
CT,Colonography,COLONOGRAPHY,5  Prone/Colon  CE,1414
CT,CT Head,,1.0 Head  Brain  Vol,1412
CT,CT Cone beam (Dental Only),,,1410
CT,Thorax^ThoraxAbdoCombined+Contrast,CHEST,Topogram,1410
CT,CT Thorax and abdomen with contrast,,1.0 Body 60s/Delay Std. Volume CE Vol,1410
CT,CT Colon,ABDOMEN,2.0   Sharp CE,1407
CT,CHEST ABDO,,Scout,1406
CT,NM Brain HMPAO (Ceretec) Brain Scan,HEAD,3D  Brain  3.0  H31s,1406
CT,CT Neck/Thorax/Abdo/Pelvis With Contrast,,Scout - Arms Down,1403
CT,CT Urogram,,Urogram 1.25mm,1402
CT,CT Sinuses,HEAD,0.5 Bone  Sharp  Vol,1399
CT,CT Thorax with contrast,,Scout,1399
CT,CT Abdomen and Pelvis,ABDOMEN,"2MM ST, iDose (3)",1397
CT,Neck^Dyn_NeckChest (Adult),,Patient Protocol,1397
CT,CT Thorax abdomen pelvis with contrast,CAP,2   Port_Ven/Phase CE,1396
CT,,CHEST_ABDO_PELVI,10.0 Lung Arterial CE,1396
CT,CT Head/Neck,,Exam Summary,1395
CT,,ABDO_PELVIS,1.0 Body Portal Ven,1393
CT,HRCT,HRCT,Body 2.0 INSPIRATIO,1391
CT,CT Head,HEAD,Bone 0.5,1390
CT,CT Chest high resolution,CHEST,Topogram  0.6  T20f,1390
CT,CT Angiogram Aorta,,Scout,1390
CT,CT Cardiac Angiogram Coronary,HEART,CaScPro  3.0    70%,1390
CT,CHEST,CHEST,",1.0,Std. Volume,Body,Vol,",1386
CT,CT Chest With Contrast,CHEST,Thorax LCAD  1.5  I31f  3,1386
CT,CT Angiogram pulmonary,,CT PA,1386
CT,NM Brain HMPAO (Ceretec) Brain Scan,HEAD,Topogram  1.0  T20s,1385
CT,CTPA,CTPA,10.0 Lung Axial CTA CE,1383
CT,CT Urinary tract,KUB,KUB  1.0  B20f 3D,1382
CT,CT Angiogram lower limb Both,,PERIPHERAL ANGIO,1382
CT,CT Chest With Cont,CHEST,Topogram,1382
CT,CT Chest/Abdo/Pelvis/,,Axial 1 5,1381
CT,Thorax^ChestLiverStaging (Adult),ABDOMEN,Lungs 5.0,1379
CT,HRCT,,Insp 1/10mm,1379
CT,ABDOMEN/PELVIS,ABDOMEN_PELVIS,Body 1.0 NON CONTRA,1378
CT,CT Abdomen and pelvis,,1.25mm Std,1377
CT,Chest,CHEST,4.0 Body Coronal Std. Volume,1377
CT,Thorax^PulmAngio (Adult),CHEST,Topogram  1.0  T20s,1376
CT,CT Urinary tract,ABDOMEN,Urinary tract  1.0  I30s  3,1374
CT,CT Angiogram Pulmonary,CHEST,CT P.A.  0.75 3D,1374
CT,CT Head with contrast,HEAD,5,1373
CT,CT Abdomen & pelvis with contrast,,KEY_IMAGES,1372
CT,CT Thorax & abdo & pelvis with contrast,,/Body/Smooth/1.0/60 DELAY/CE,1371
CT,CHEST/ABDO,,CHEST sp / LIVER 70sec,1371
CT,CHEST ABDO PELVIS,,Axial CAP,1369
CT,CT Renal,ABDOMEN,KUB  1.0  I30f  3,1367
CT,HEAD,,0.625mm head,1366
CT,CT Thorax and abdomen with contrast,CHEST,5 CE,1365
CT,CT Head With Contrast,HEAD,Head  4.0  MPR,1365
CT,CT Cardiac angiogram coronary,,SEGMENT 75% 0.00s 75% 0.5 Cardiac CTA Standard CTA/SEGMENT CE,1364
CT,CT Chest/Abdo/Pelvis,CHEST_ABDOMEN,5 Venous CE,1363
CT,CT Urinary tract,ABDOMEN,Topogram,1362
CT,CT Chest/Abdo/Pelvis/ With Contrast,,1.25,1362
CT,Thorax^2_ChestAbdomen (Adult),CHEST,Chest  5.0  B31f,1361
CT,CT Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,Body 1.0 PORTAL VEN CE,1361
CT,CT Thorax abdomen pelvis with contrast,CHEST,Chap 1.0 I31s 3,1361
CT,HRCT,HRCT,5 INSPIRATIO,1360
CT,CT Knee Lt,,Dose Report,1360
CT,CT Chest high resolution,CHEST,1.0 Lung HRCT Std. Volume  Vol,1358
CT,Head^BrainwithBony (Adult),HEAD,Topogram,1356
CT,Thorax^01Chest-Abdo_VOL,,Patient Protocol,1356
CT,CT Abdomen with contrast,,Patient Protocol,1355
CT,CHEST_ABDO,CHEST_ABDO,1.0 Body Volume Arterial  /Phase CE,1354
CT,KUB,,Scout,1349
CT,CT Thorax & abdomen with contrast,,//Sharp/2.0//,1348
CT,CT Chest/Abdo/Pelvis,CHEST,KEY_IMAGES,1348
CT,CT Chest high resolution,,Lung 1.0 Body Soft Tissue HRCT,1347
CT,CT Angiogram Pulmonary,,Bone Plus ( Hi Res Lungs),1347
CT,CT Sinuses,HEAD,Topogram  0.6  T20f,1346
CT,CT KUB,ABDOMEN,Topogram,1345
CT,CT Spine cervical,,SCOUT,1345
CT,Abdo/Pelvis,ABDO_PELVIS,5   Venous/Phase CE,1343
CT,CT Chest high resolution,CHEST,1.0 Lung  Std. Volume,1343
CT,CT Head,,0.625mm Recons,1341
CT,CT Chest,CHEST,KEY_IMAGES,1340
CT,Thorax^7_Singlerun_Thorax_Abdo_SAFIRE (Adult),CHEST,Topogram  0.6  T20f,1339
CT,CT Chest/Abdo/Pelvis/ With Contrast,ABDOMEN,Abdomen  1.5  I26f  3,1339
CT,Thorax^ThoraxAbdoCombined+Contrast,,Patient Protocol,1339
CT,CT Head/Neck,BRAIN,"Bony, iDose",1339
CT,ABDOMEN/PELVIS,ABDOMEN_PELVIS,Body 0.5 PORTAL VEN CE,1338
CT,CT Spine Lumbar,SPINE,Topogram,1334
CT,Thorax^2_ChestAbdomen (Adult),,Patient Protocol,1333
CT,HRCT,HRCT,2.0  Smooth,1330
CT,CT Abdomen/Pelvis With,,Abdo/Pelvis,1330
CT,CT Chest High Resolution,CHEST,LungHR  1.0  I70f  3,1328
CT,CT Neck thorax abdomen pelvis with Cont,,Patient Protocol,1327
CT,CHEST/ABDO/PELVIS,,CHEST/ABDO/PELVIS SCOUT,1327
CT,CT Thorax and abdomen with contrast,CHEST,5  60s/Delay  CE,1324
CT,CT Head,HEAD,SUMMARY,1324
CT,CT Chest/Abdo With Contrast,CHEST,Thorax  1.5 lung,1324
CT,CT Chest high resolution,CHEST,1.0 Lung HRCT FC56 Helical,1324
CT,CT Neck With Contrast,CHEST,Thorax  1.5  I50f  3,1323
CT,CT Head,,Bone 1.0,1322
CT,CT Chest,CHEST,"Lung, iDose (2)",1322
CT,HRCT,,Scout,1321
CT,CT Head with contrast,,2,1321
CT,Head^Head_Seq_BGH (Adult),,Patient Protocol,1320
CT,CHEST/ABDO,,CHEST/ABDO SCOUT,1320
CT,CT Spine Cervical,C_SPINE,2,1315
CT,Chest/Abdo,CHEST_ABDO,1.0 Body Volume Arterial /Phase CE,1314
CT,CT Urinary tract,KUB,1.0 Body Std. Volume Non_C /PRONE,1307
CT,CT Thorax and abdomen,,1.25MM,1306
CT,Thorax^WholebodyStagingDP (Adult),CHEST,Chest Liver  5.0,1304
CT,Abdomen^KUB_BGH (Adult),,Patient Protocol,1304
CT,CT Thorax,,Scout,1304
CT,CT Abdomen and pelvis with contrast,ABDOMEN_PELVIS,5 Port Ven/Ab/Pel CE,1302
CT,CT Liver triple phase,,Dose Report,1301
CT,CT Neck with contrast,,SCOUT,1301
CT,CT Guided Biopsy,,Dose Report,1298
CT,PET^1_PETCT_AC_WholeBody_CRC (Adult),ABDOMEN,CT WB 1.5mm,1298
CT,CT Head,,2.5 standard,1298
CT,CT Spine cervical,NECK,Bone 0.5,1297
CT,CT Head,,POST CONTRAST,1297
CT,Abdomen^8_Aorta_PV_AbdoPelvis (Adult),ABDOMEN,Abdomen  1.0  I26f  3,1297
CT,Thorax^HRCTspiral (Adult),CHEST,Mediastinum 1.0s,1296
CT,CT Neck thorax abdomen pelvis with Cont,,CAP (DMPR) 1.25MM,1295
CT,CT Chest/Abdo,ABDOMEN,"2MM ST, iDose (3)",1295
CT,CT Spine cervical,,0.625mm Soft,1294
CT,CT Chest With Contrast,CHEST,1.0 Body Volume Arterial/Phase CE,1292
CT,CT Urinary tract,ABDO_PELVIS,5 NON CONTRA/PRONE,1291
CT,CT Chest High Resolution,,PRONE. 1.25/10mm,1291
CT,Abdomen^1_CTUrography (Adult),ABDOMEN,Topogram  1.0  T20s,1287
CT,CT Angiogram pulmonary,CTPA,Body 0.5  CE,1287
CT,CT Head With Contrast,,0.625mm recon,1286
CT,,CT KUB,5  Non Contra,1286
CT,CT Colonoscopy virtual,ABDOMEN,5   Prone CE,1286
CT,CT Urogram,ABDOMEN,"Urogram, iDose (4)",1285
CT,CT Abdomen and pelvis with contrast,ABDOMEN,2.0   Sharp,1284
CT,CT Guided biopsy,,Dose Report,1283
CT,Head^QM_Head_SAFIRE (Adult),,Patient Protocol,1283
CT,CT Angiogram Aortic Arch and Carotids,,Dose Report,1283
CT,CT Renal with contrast Both,,Dose Report,1282
CT,CT Thorax abdomen pelvis with contrast,CHEST_ABDO_PELVI,Body 1.0 Port Ven/CAP,1282
CT,CT Chest high resolution,,Lung 1.0 Lung HRCT Sharp,1282
CT,Colonography,COLONOGRAPHY,1.0 Body Prone/Colon Std. Volume CE,1282
CT,Abdomen^AbdoPelvisDP (Adult),,Patient Protocol,1279
CT,CT Head,HEAD,Bone 0.625mm,1279
CT,Thorax^SMI_REDACTED_CAP_Split_JPC_Venous (Adult),CHEST,Topogram,1278
CT,CT Chest/Abdo With Contrast,CHEST_ABDO,5  55 sec/delay CE,1278
CT,CHEST/ABDO/PELVIS,,Scouts,1277
CT,CT Angiogram Intracranial,,Dose Report,1277
CT,Chest/Abdo,CHEST_ABDO,1.0 Body Volume Venous/Phase CE,1276
CT,CT BRAIN,CT BRAIN,1.0 Head   Brain Volume,1276
CT,CT Chest,CHEST,Topogram,1275
CT,CT KUB (Urinary tract),,Exam Summary,1272
CT,Thorax^Ayr_Staging_Chest_for_MA (Adult),,Patient Protocol,1272
CT,Thorax^CTPA_SAFIRE (Adult),,Patient Protocol,1271
CT,CT Chest high resoluti,,Recon 2: Prone Inspiration,1271
CT,CT Urogram,,//Sharp/2.0//,1270
CT,CTPA,,Lung,1269
CT,CT Thorax with contrast,,SCOUT,1269
CT,CT Pelvis,,Scout,1268
CT,Head^Ayr_Head_Spiral_Pre_and_Post (Adult),HEAD,Head  1.0 3D,1267
CT,CT Chest/Abdo With Contrast,,Chest Abdo Pelvis 1.25mm,1266
CT,CTPA,CTPA,2  CE,1264
CT,CT Neck With Contrast,,0.625mm Stnd,1264
CT,CT Cardiac Angiogram Coronary,,Smart Prep Series,1263
CT,CT Chest high resolution,CHEST,ThorHRSeq  1.0  B70s,1260
CT,CHEST/ABDO,CHEST_ABDO,5 Venous/Phase CE,1260
CT,CT Abdomen and pelvis with contrast,ABDOMEN,1.0 Body Std. Volume Port_Ven/Phase CE,1260
CT,CT Urinary tract,,KUB Prone,1258
CT,CHEST/ABDO,,LUNG RECON,1257
CT,CT Chest,,Axial 1 5,1257
CT,PET FDG Whole body,ABDOMEN,Topogram  0.6  T80s,1256
CT,HEAD,HEAD,",1.0,Brain,Head,Axial,",1256
CT,CT Thorax & abdo & pel,,SAGITTAL  5mm,1254
CT,Abdomen^KUBLowDose,,Patient Protocol,1253
CT,CT Angiogram Lower Limbs,ABDOMEN,Topogram  0.6  T20s,1252
CT,CT Thorax,,LUNG 5mm,1251
CT,,KUB,Body 1.0,1251
CT,CT Chest/Abdo With Contrast,ABDOMEN,Abdomen  1.5  I26f  3,1251
CT,CT Colonoscopy (Virtual),,1.25mm prone colon,1251
CT,KUB,KUB,5,1249
CT,CT Abdomen and pelvis,,HELICAL 1.25MM,1247
CT,CT Angiogram pulmonary,CTPA,Thin Chest  0.5 CTA Body CTA CE,1247
CT,CT Chest/Abdo With Contrast,CHEST,Thorax  1.5,1245
CT,CT Urinary tract with contrast,,Patient Protocol,1245
CT,Abdomen^01_Urogram_Plain_VOL,ABDOMEN,Topogram,1244
CT,CHEST/ABDO/PELVIS,CHEST_ABDO_PELVI,Body 0.5 PORTAL VEN CE,1244
CT,Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,10.0 Body Axial Arterial /Phase CE,1243
CT,HRCT,,Supine Lung,1243
CT,CT Urogram,,Supine Scout,1242
CT,CT Thorax and abdomen with contrast,,SCOUTS,1241
CT,CT Abdomen and Pelvis,ABDOMEN,2,1239
CT,CT Chest high resolution,CHEST,1.0 Lung HRCT Insp Std. Axial  Axial,1238
CT,CT Thorax with contrast,CHEST,Body 1.0 CE,1237
CT,CT Sinuses,,Recon 2: SINUS SUPINE,1237
CT,CT Angiogram aorta,,ANGIO,1237
CT,Thorax^2_Thorax_Contrast_SAFIRE (Adult),CHEST,Thorax  5.0  I70f  3,1237
CT,CT Abdomen and Pelvis,ABDOMEN,KEY_IMAGES,1236
CT,Chest,CHEST,5,1236
CT,CT Neck thorax and abdomen with contrast,,Dose Report,1235
CT,CHEST/ABDO/PELVIS,,Smart Prep Series,1234
CT,CT Urogram,ABDOMEN,Urogram Frusi   1.0  I30f  3,1234
CT,CT Cardiac Angiogram Coronary,,SnapShot Pulse,1234
CT,CT Chest With Contrast,,Chest + contrast (SS 40),1234
CT,Abdomen^kub (Adult),ABDOMEN,Abdo 2 mm,1234
CT,,,2,1232
CT,CT Thorax & abdomen wi,,SAG 3mm,1231
CT,Abdomen^KUBLowDose,ABDOMEN,Topogram,1231
CT,CT Angiogram Pulmonary,CTPA,2.0   Sharp,1229
CT,CT Angio aortic arch and carotid Both,NECK,CTA 0.5 CE,1229
CT,Abdomen^2_Pancreas_SAFIRE (Adult),ABDOMEN,Portal Venous  1.0  I26f  3,1228
CT,CT Chest/Abdo/Pelvis/ With Contrast,,1.25 CAP,1227
CT,Thorax^TAPRoutineBGH (Adult),CHEST,Topogram  1.0  T20s,1227
CT,Abdomen^AbdoPelvisDP (Adult),CHEST,PV Abdo/Pel  1.0 Thins,1226
CT,CT Chest/Abdo/Pelvis,ABDOMEN,"2mm ST, iDose (3)",1226
CT,CT Head,HEAD,Scout,1222
CT,CT Chest With Contrast,CHEST,5   Arterial/Phase CE,1221
CT,CT Head With/Without Contrast,HEAD,Head  1.0  H60s,1219
CT,CT Thorax & abdomen with contrast,,Soft_Tissue 1.0 Body Volume Port_Ven/Phase CE,1219
CT,Abdomen^2_Pancreas_SAFIRE (Adult),,Patient Protocol,1217
CT,CT Chest High Resolution,,PRONE SCOUT,1217
CT,Thorax^ChestLiverStaging (Adult),CHEST,Art Chest/Liver  5.0,1215
CT,Abdomen^AbdomenContrast (Adult),ABDOMEN,Topogram  1.0  T20s,1213
CT,CT Abdomen / Pelvis,,Exam Summary,1212
CT,CT Head,,CORONAL 3mm,1210
CT,CT Head With Contrast,HEAD,Head  1.0  J40s  3,1210
CT,CHEST/ABDO,,Scout,1210
CT,CT Angiogram Pulmonary,,PE Study,1209
CT,CT Thorax with contras,,Dose Report,1209
CT,CT Colon,ABDOMEN,1.0 Body Prone/Abdomen/Pe Std. Volume CE,1208
CT,CT Angiogram pulmonary,CTPA,2  CE,1207
CT,CT Head,,3mm SAG,1203
CT,CT Angiogram lower limb Both,,0.625mm Runoff,1203
CT,CT Head with contrast,,2.5MM AXIAL,1202
CT,CT Angiogram Pulmonary,CTPA,1.0 CTA Body CTA CE,1199
CT,CT Head with contrast,,0.625mm Soft,1198
CT,CT Head with contrast,,Scout,1196
CT,CT Head,HEAD,0.5 Head Brain FC26 Std,1196
CT,CT Chest With Contrast,CHEST,1.0 Lung Volume Arterial/Phase CE,1196
CT,CT KUB,KUB,1.0 Body   Std. Volume,1195
CT,CT Guided biopsy,,SCOUT,1194
CT,CT Chest/Abdo/Pelvis,CHEST_ABDOMEN,Body 2.0 Venous CE,1193
CT,NM Cardiac Exercise Stress MIBI/TF,,Dose Report,1192
CT,CT Neck/Thorax/Abdo/Pelvis With Contrast,,Lung,1189
CT,HRCT,,Scouts,1189
CT,CT Urinary tract,ABDOMEN,iDose (6),1188
CT,CT Guided biopsy abdomen,ABDOMEN,Sft Tissue 3.0,1188
CT,CT Renal,,Prone Scout,1187
CT,Abdomen,ABDOMEN,1.0 Body Volume Venous/Phase CE,1187
CT,Abdomen^QM_AbdomenPelvis_Contrast_SAFIRE (Adult),,Patient Protocol,1187
CT,CT Chest/Abdo/Pelvis,CHEST,Topogram,1186
CT,CT Abdomen/Pelvis With Contrast,,Exam Summary,1186
CT,CT Guided biopsy lung,,CHEST,1186
CT,CT Abdomen and Pelvis,ABDOMEN,"PV, iDose (4)",1186
CT,CT Thorax abdomen pelvis with contrast,,5 Port Ven CE,1185
CT,ABDOMEN,ABDOMEN,5 Venous/Phase CE,1185
CT,CT Facial Bones,,Dose Report,1185
CT,CT Cardiac angiogram coronary,CTA_CARDIAC,SEGMENT 75% 0.00s 75% 0.5 Cardiac CTA Standard CTA/SEGMENT CE,1185
CT,CT Chest With Contrast,CHEST,Lung 10.0 CE,1184
CT,Abdomen^AbdRoutine,ABDOMEN,Topogram,1184
CT,CT Abdomen/Pelvis With Contrast,,1.25mm stnd abdo/pelvis recon,1184
CT,CHEST,CHEST,",1.0,HiResVol,Lung,Vol,",1182
CT,,CHEST_ABDO_PELVI,1.0 Body Portal Ven CE,1182
CT,CT Thorax abdomen pelvis with contrast,,Body 1.0 Port Ven CE,1182
CT,CT Sinuses,SINUSES,1.0 Bone Volume,1182
CT,CT Urogram,,Pre Contrast (SS40),1180
CT,Thorax^Chest_Liver_All_In_One_With_IV_BGH (Adult),CHEST,TAP 1.0  I30f  3,1179
CT,Thorax^-01 Chest + Liver 2.5mm,,Patient Protocol,1179
CT,Thorax^DynChest_Abdomen (Adult),ABDOMEN,Abdomen  1.5  B20f,1175
CT,CT Head,HEAD,Head 1.25mm,1175
CT,,CHEST_ABDO,1.0 Body Arterial CE,1174
CT,CT Chest/Abdo/Pelvis/ With Contrast,CHEST,Chest/Abdo 70s  1.5  I30f  3,1171
CT,CT Spine Cervical,C_SPINE,Neck 1.0,1171
CT,Abdomen^Colonography_Safire (Adult),,Patient Protocol,1171
CT,Head^RoutineSpiralHeadPostContrast (Adult),HEAD,5mm Brain MPR,1170
CT,CT Chest high resolution,CHEST,1.0 Body Std. Volume,1169
CT,CT Head,HEAD,",Brain,Vol.,Head,",1169
CT,CT Urogram,,Post Contrast (SS 40),1168
CT,CT Thorax and abdomen with contrast,,KEY_IMAGES,1168
CT,CHEST/ABDO/PELVIS,CHEST_ABDO_PELVI,Body 5.0 PORTAL VEN/Coronal CE,1167
CT,CT Guided Drainage,ABDOMEN,AbdoPelvis  1.5  I26f  3,1166
CT,Abdomen^KUB (Adult),ABDOMEN,KUB  1.5,1165
CT,Spine^C_Spine (Adult),NECK,Topogram,1165
CT,CT Thorax and abdomen,,LUNG 5mm,1164
CT,CT Thorax abdomen pelvis with contrast,CHEST,MPR  Chap  1.0  I30f  3,1164
CT,Thorax^3_Thorax_Abdo_SAFIRE (Adult),CHEST,Thorax  5.0  I31f  3,1164
CT,Spine^C_Spine (Adult),,Patient Protocol,1163
CT,CT Thorax abdomen and,,SCOUT,1162
CT,CT Head,HEAD,5 CE,1162
CT,CT Colonography Minimal Preparation,ABDOMEN,Topogram  0.6  T20f,1162
CT,CT Abdomen and pelvis with contrast,ABDOMEN,5  Port Ven/Phase  CE,1162
CT,Abdomen^1_AbdomenPelvis_SAFIRE (Adult),ABDOMEN,Abdomen  5.0  I30f  3,1162
CT,Abdomen^2_Pancreas_SAFIRE (Adult),ABDOMEN,Arterial  1.0  I26f  3,1160
CT,CT Colonoscopy virtual,ABDOMEN,Topogram  0.6  T20f,1158
CT,CT Chest/Abdo/Pelvis/ With Contrast,,2,1158
CT,Abdomen^Ayr_KUB (Adult),ABDOMEN,Topogram,1155
CT,Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,2.0  Sharp,1155
CT,CT Colonoscopy (Virtual),,Prone Colon 1.25mm,1154
CT,NECK,NECK,",1.0,Std. Volume,Body,Vol,CE",1154
CT,CT Chest and abdomen,,Dose Report,1154
CT,CT Spine Cervical,NECK,Topogram,1152
CT,,CHEST_ABDO,5  Portal Ven CE,1150
CT,Abdomen^KUB (Adult),ABDOMEN,Topogram  0.6,1149
CT,CT Thorax abdomen pelvis with contrast,,Smart Prep Series,1149
CT,ABDOMEN,ABDOMEN,",2.0,Sharp,,Scano,",1148
CT,CT Thorax & abdomen wi,,SAGITTAL  5mm,1148
CT,C/A/P,,Lung,1146
CT,CT Head,,Recon 3: 2.5mm Axial Head,1146
CT,,CHEST_ABDO,10.0 Lung Arterial CE,1146
CT,Chest/Abdo,CHEST_ABDO,5.0 Lung Axial Arterial /Phase CE,1145
CT,CT Colonoscopy (Virtual),,Prone Low Dose,1145
CT,Abdomen^KUBLowDose,ABDOMEN,AbdRoutine 3.0 B31f,1145
CT,CT Colon,ABDOMEN,1.0 Body Venous/Phase Std. Volume CE,1145
CT,CT Thorax & abdomen wi,,CORONAL 3mm,1145
CT,Abdomen,ABDOMEN,2,1144
CT,CT Thorax abdomen pelvis with contrast,,2.0   Sharp  Scano,1141
CT,EXTREMITY,,Individually captured images,1141
CT,CT Head,,CT Thick Axials 5mm,1141
CT,Thorax^TRIALChestAbdoPelvis (Adult),ABDOMEN,AbdRoutine  2MM B31f,1140
CT,CHEST/ABDO,CHEST_ABDO,5 PORTAL VEN CE,1138
CT,CT Colonoscopy virtual,,PRONE SCOUT,1136
CT,Abdomen^1_Colon (Adult),ABDOMEN,ColonPRONE1.0  B20f,1136
CT,CT Head,HEAD,3.0 Head Coronal Brain,1135
CT,NM MPS Tf stress,HEART,Topogram 0.6 T20f,1135
CT,CT Chest High Resolution,HRCT,Body 1.0,1135
CT,CT Thorax,,2,1134
CT,Abdomen^Urogram_FrusemideBGH (Adult),ABDOMEN,Urogram Frusi   1.0  I30f  3,1133
CT,CT Neck/Thorax/Abdo/Pelvis With Contrast,CHEST,Thorax  1.5 lung,1133
CT,Cardiac^Retrospective_Cardiac (Adult),HEART,CaScSeq  3.0  B35f  70%,1132
CT,CT Colonoscopy virtual,,1.0 Body Prone/Colon Std. Volume CE Vol,1130
CT,CT Sinuses,,2mm AXIAL,1129
CT,CT Renal,,Prone Non Contrast,1128
CT,Thorax^CAP1phaseNW (Adult),CHEST,CAP  1.5  B60f,1128
CT,CT Angiogram pulmonary,,Recon 2: CT PA,1128
CT,CTPA,CTPA,2   CTA CE,1127
CT,Thorax^2_Thorax_Contrast_SAFIRE (Adult),CHEST,Thorax  1.0  I31f  3,1127
CT,Thorax^PulAng (Adult),,Patient Protocol,1127
CT,CT Head With/Without Contrast,,Patient Protocol,1126
CT,CT Sinuses,HEAD,3.0 Head  Soft Tissue  Axial,1126
CT,CT Head,,0.625 recons,1125
CT,CT Abdomen/Pelvis With Contrast,ABDO_PELVIS,KEY_IMAGES,1125
CT,CT Abdomen and pelvis,ABDOMEN,Body 1.0,1124
CT,CT Chest high resolution,,2.0   Sharp  Scano,1122
CT,CT HR Chest Insp/Exp,,INSP. 1.25/10mm,1121
CT,CT Thorax with contrast,CHEST,KEY_IMAGES,1120
CT,,CHEST_ABDO_PELV,Lung 1.0 CE,1120
CT,CT Abdomen & pelvis wi,,KEY_IMAGES,1119
CT,Chest/Abdo,CHEST_ABDO,5 Port Ven/Chest/Ab CE,1118
CT,CT Colonoscopy (Virtual),COLON,1.0 Body Volume Prone /Delayed CE,1118
CT,Colonography,COLONOGRAPHY,1.0 Body 65s/Colon Std. Volume CE,1118
CT,Chest/Abdo/Pelvis,CHEST_ABDO_PELVI,5   Venous/Phase CE,1116
CT,CT Colonography Minimal Preparation,,Axial 1 5,1116
CT,CHEST_ABDO,CHEST_ABDO,5   Venous/Phase CE,1114
CT,CTA CARDIAC,CTA CARDIAC,2,1114
CT,,ABDOMEN,5,1113
CT,KUB,KUB,5.0 Body Non Contra/Ab/Pel Std. Axial CE,1113
CT,CT Colonoscopy (Virtual),COLONOGRAPHY,2.0    Sharp,1113
CT,CT Thorax abdomen pelvis with contrast,,Recon 3: 5MM  HELICAL,1112
CT,CT Chest High Resolution,,HRCT-Lung,1112
CT,CT Ankle Rt,,Dose Report,1111
CT,CT Renal,,Patient Protocol,1109
CT,CT Angiogram pulmonary,,//Sharp/2.0//,1109
CT,CT Chest,CHEST,2,1108
CT,CT KUB,ABDOMEN,KUB  1.5  I26f  3,1107
CT,CT Thorax & abdo & pelvis with contrast,,2   Port_Ven/Phase CE,1106
CT,Abdomen^Ayr_KUB_Cystogram_Low_Dose (Adult),ABDOMEN,Topogram,1106
CT,CT Thorax abdomen pelvis with contrast,,,1105
CT,CT Neck With Contrast,,Scouts,1105
